lidar_date,name,product,illuminations,start,md5sum,download_link,time_range
2010-04-25 04:14:44,MOD021KM.A2010115.0535.061.2017252073239.hdf,MOD021KM,D,2010-04-25 05:35:00,1fc1f0d217086a43c99d76f4a6eb1474,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010115.0535.061.2017252073239.hdf,8:20:16
2010-04-25 04:21:08,MYD021KM.A2010115.0415.061.2018059232610.hdf,MYD021KM,D,2010-04-25 04:15:00,d98fe796338d600fe05ec8b26a34b622,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010115.0415.061.2018059232610.hdf,6:53:52
2010-04-25 04:21:08,MOD021KM.A2010115.0535.061.2017252073239.hdf,MOD021KM,D,2010-04-25 05:35:00,1fc1f0d217086a43c99d76f4a6eb1474,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010115.0535.061.2017252073239.hdf,8:13:52
2010-04-25 05:03:13,MYD021KM.A2010115.0415.061.2018059232610.hdf,MYD021KM,D,2010-04-25 04:15:00,d98fe796338d600fe05ec8b26a34b622,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010115.0415.061.2018059232610.hdf,6:11:47
2010-04-25 05:03:13,MOD021KM.A2010115.0535.061.2017252073239.hdf,MOD021KM,D,2010-04-25 05:35:00,1fc1f0d217086a43c99d76f4a6eb1474,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010115.0535.061.2017252073239.hdf,7:31:47
2010-04-25 05:16:08,MYD021KM.A2010115.0415.061.2018059232610.hdf,MYD021KM,D,2010-04-25 04:15:00,d98fe796338d600fe05ec8b26a34b622,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010115.0415.061.2018059232610.hdf,5:58:52
2010-04-25 05:16:08,MOD021KM.A2010115.0535.061.2017252073239.hdf,MOD021KM,D,2010-04-25 05:35:00,1fc1f0d217086a43c99d76f4a6eb1474,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010115.0535.061.2017252073239.hdf,7:18:52
2010-04-25 05:20:54,MYD021KM.A2010115.0415.061.2018059232610.hdf,MYD021KM,D,2010-04-25 04:15:00,d98fe796338d600fe05ec8b26a34b622,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010115.0415.061.2018059232610.hdf,5:54:06
2010-04-25 05:20:54,MOD021KM.A2010115.0535.061.2017252073239.hdf,MOD021KM,D,2010-04-25 05:35:00,1fc1f0d217086a43c99d76f4a6eb1474,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010115.0535.061.2017252073239.hdf,7:14:06
2010-04-25 05:38:49,MYD021KM.A2010115.0415.061.2018059232610.hdf,MYD021KM,D,2010-04-25 04:15:00,d98fe796338d600fe05ec8b26a34b622,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MYD021KM.A2010115.0415.061.2018059232610.hdf,5:36:11
2010-04-25 05:38:49,MOD021KM.A2010115.0535.061.2017252073239.hdf,MOD021KM,D,2010-04-25 05:35:00,1fc1f0d217086a43c99d76f4a6eb1474,https://ladsweb.modaps.eosdis.nasa.gov/api/v2/content/archives/MOD021KM.A2010115.0535.061.2017252073239.hdf,6:56:11
