date,m06,m11,m16
2013-12-24 15:37:29+00:00,0.58,-0.535,-0.20500000000000002
2014-03-17 21:31:23+00:00,0.96,-0.92,-0.83
2014-03-17 22:00:07+00:00,0.8300000000000001,-0.535,-0.835
2014-11-22 15:34:58+00:00,0.96,-1.085,-0.845
2014-12-03 14:06:34+00:00,0.8,-0.82,-0.655
2014-12-03 14:21:13+00:00,0.76,-0.715,-0.635
2014-12-03 14:35:43+00:00,0.81,-0.81,-0.53
2014-12-03 15:05:31+00:00,0.82,-0.87,-0.43
2014-12-05 13:39:57+00:00,0.83,-0.62,-0.41000000000000003
2014-12-05 14:12:30+00:00,0.815,-0.5549999999999999,-0.545
2015-01-13 15:19:00+00:00,0.815,-0.625,-0.655
2015-01-29 13:36:54+00:00,0.97,-0.88,-0.73
2015-02-06 12:34:01+00:00,0.985,-1.07,-0.985
2015-02-06 13:03:02+00:00,0.59,-0.715,-0.29000000000000004
2015-02-06 14:09:30+00:00,0.675,-0.63,-0.105
2015-02-06 14:37:20+00:00,0.62,-0.58,-0.185
2015-02-11 14:59:12+00:00,0.955,-0.8300000000000001,-0.735
2015-02-20 15:04:18+00:00,1.0,-0.805,-0.72
2015-03-20 15:30:24+00:00,0.95,-1.045,-0.87
2015-04-06 15:58:30+00:00,0.96,-0.735,-0.605
2015-04-17 14:37:10+00:00,0.65,-0.585,-0.11499999999999999
2015-04-18 14:49:41+00:00,0.625,-0.635,-0.20500000000000002
2015-04-18 15:04:11+00:00,0.645,-0.71,-0.22499999999999998
2015-04-18 15:19:58+00:00,0.73,-0.875,-0.73
2015-06-04 15:53:13+00:00,0.77,-0.715,-0.1
2015-06-29 22:19:39+00:00,0.965,-0.9299999999999999,-1.13
2015-06-29 22:35:24+00:00,1.1,-1.16,-0.8049999999999999
2015-06-30 00:36:01+00:00,0.715,-0.885,-0.535
2015-06-30 00:50:30+00:00,0.745,-0.67,-0.46499999999999997
2015-06-30 05:26:10+00:00,0.935,-1.195,-0.96
2015-09-11 14:35:54+00:00,0.91,-0.9299999999999999,-0.8049999999999999
